,Date,Open,High,Low,Close
563,109/04/29,"10,656.40","10,794.83","10,656.40","10,772.22"
564,109/04/30,"10,826.26","11,012.78","10,826.26","10,992.14"
565,109/05/04,"10,781.51","10,781.51","10,658.50","10,720.48"
566,109/05/05,"10,756.95","10,833.53","10,735.01","10,774.61"
567,109/05/06,"10,771.09","10,828.73","10,708.10","10,774.98"
568,109/05/07,"10,778.53","10,890.87","10,775.16","10,842.92"
569,109/05/08,"10,883.22","10,970.70","10,883.22","10,901.42"
570,109/05/11,"10,942.18","11,039.11","10,942.18","11,013.26"
571,109/05/12,"10,974.51","10,974.51","10,854.51","10,879.47"
572,109/05/13,"10,861.01","10,938.27","10,828.93","10,938.27"
573,109/05/14,"10,894.17","10,894.17","10,777.46","10,780.88"
574,109/05/15,"10,833.16","10,904.01","10,730.55","10,814.92"
575,109/05/18,"10,753.21","10,812.87","10,730.70","10,740.55"
576,109/05/19,"10,812.79","10,924.79","10,812.79","10,860.44"
577,109/05/20,"10,892.76","10,933.98","10,860.15","10,907.80"
578,109/05/21,"10,933.21","11,021.66","10,933.21","11,008.31"
579,109/05/22,"10,977.55","10,977.55","10,804.56","10,811.15"
580,109/05/25,"10,812.94","10,874.54","10,719.25","10,871.18"
581,109/05/26,"10,903.32","11,046.22","10,903.32","10,997.21"
582,109/05/27,"11,023.93","11,069.72","10,972.25","11,014.66"
583,109/05/28,"11,040.62","11,087.53","10,915.30","10,944.19"
584,109/05/29,"10,921.16","10,965.03","10,861.90","10,942.16"
585,109/06/01,"10,971.40","11,109.29","10,971.40","11,079.02"
586,109/06/02,"11,109.27","11,170.49","11,102.97","11,127.93"
587,109/06/03,"11,182.52","11,330.52","11,182.52","11,320.16"
588,109/06/04,"11,373.94","11,425.42","11,341.58","11,393.23"
589,109/06/05,"11,418.01","11,482.36","11,411.94","11,479.40"
590,109/06/08,"11,539.00","11,631.89","11,528.44","11,610.32"
591,109/06/09,"11,600.61","11,640.45","11,537.38","11,637.11"
592,109/06/10,"11,635.99","11,740.90","11,621.02","11,720.16"
593,109/06/11,"11,738.49","11,771.12","11,516.59","11,535.77"
594,109/06/12,"11,406.54","11,442.30","11,244.64","11,429.94"
595,109/06/15,"11,436.28","11,469.84","11,299.45","11,306.26"
596,109/06/16,"11,380.67","11,542.25","11,380.67","11,511.64"
597,109/06/17,"11,525.50","11,550.32","11,482.32","11,534.59"
598,109/06/18,"11,534.20","11,567.42","11,485.39","11,548.33"
599,109/06/19,"11,557.27","11,584.88","11,542.37","11,549.86"
600,109/06/22,"11,553.91","11,632.88","11,553.91","11,572.93"
601,109/06/23,"11,618.42","11,679.40","11,530.85","11,612.36"
